County Name,COL Score
"Aleutians West Census Area County, Alaska",139
"Bethel Census Area County, Alaska",137
"Skagway Municipality County, Alaska",126
"Sitka City and Borough County, Alaska",124
"Anchorage Municipality County, Alaska",124
"Dillingham Census Area County, Alaska",122
"Juneau City and Borough County, Alaska",120
"Matanuska-Susitna Borough County, Alaska",120
"Haines Borough County, Alaska",119
"Valdez-Cordova Census Area County, Alaska",119
"Denali Borough County, Alaska",117
"Northwest Arctic Borough County, Alaska",116
"North Slope Borough County, Alaska",115
"Nome Census Area County, Alaska",115
"Bristol Bay Borough County, Alaska",115
"Kodiak Island Borough County, Alaska",113
"Ketchikan Gateway Borough County, Alaska",113
"Hoonah-Angoon Census Area County, Alaska",110
"Fairbanks North Star Borough County, Alaska",110
"Southeast Fairbanks Census Area County, Alaska",109
"Petersburg Census Area County, Alaska",108
"Kenai Peninsula Borough County, Alaska",107
"Yakutat City and Borough County, Alaska",107
"Prince of Wales-Hyder Census Area County, Alaska",106
"Aleutians East Borough County, Alaska",105
"Wrangell City and Borough County, Alaska",104
"Wade Hampton Census Area County, Alaska",102
"Yukon-Koyukuk Census Area County, Alaska",97
"Lake and Peninsula Borough County, Alaska",94
"Shelby County, Alabama",99
"Baldwin County, Alabama",93
"Lee County, Alabama",93
"St. Clair County, Alabama",91
"Elmore County, Alabama",89
"Madison County, Alabama",89
"Blount County, Alabama",89
"Tuscaloosa County, Alabama",89
"Autauga County, Alabama",88
"Limestone County, Alabama",86
"Chilton County, Alabama",85
"Morgan County, Alabama",85
"Jefferson County, Alabama",83
"Mobile County, Alabama",83
"Bibb County, Alabama",82
"Lauderdale County, Alabama",81
"Houston County, Alabama",81
"Cullman County, Alabama",81
"Tallapoosa County, Alabama",80
"Pike County, Alabama",80
"Cleburne County, Alabama",80
"Calhoun County, Alabama",80
"Pickens County, Alabama",79
"Walker County, Alabama",79
"Cherokee County, Alabama",79
"Etowah County, Alabama",79
"Henry County, Alabama",78
"Washington County, Alabama",78
"Marshall County, Alabama",78
"Hale County, Alabama",78
"Coffee County, Alabama",78
"Colbert County, Alabama",78
"Russell County, Alabama",77
"Montgomery County, Alabama",77
"Jackson County, Alabama",77
"Lawrence County, Alabama",77
"Fayette County, Alabama",77
"Talladega County, Alabama",76
"Coosa County, Alabama",76
"Covington County, Alabama",76
"Clay County, Alabama",76
"Dale County, Alabama",76
"Clarke County, Alabama",76
"Lowndes County, Alabama",76
"Winston County, Alabama",76
"Greene County, Alabama",75
"Franklin County, Alabama",75
"Marengo County, Alabama",75
"Choctaw County, Alabama",75
"Geneva County, Alabama",75
"DeKalb County, Alabama",75
"Randolph County, Alabama",75
"Crenshaw County, Alabama",75
"Escambia County, Alabama",75
"Butler County, Alabama",74
"Lamar County, Alabama",74
"Marion County, Alabama",74
"Conecuh County, Alabama",74
"Barbour County, Alabama",74
"Monroe County, Alabama",74
"Wilcox County, Alabama",74
"Bullock County, Alabama",73
"Dallas County, Alabama",73
"Macon County, Alabama",73
"Sumter County, Alabama",73
"Perry County, Alabama",72
"Chambers County, Alabama",71
"Washington County, Arkansas",90
"Benton County, Arkansas",89
"Saline County, Arkansas",86
"Perry County, Arkansas",86
"Lonoke County, Arkansas",84
"Grant County, Arkansas",83
"Garland County, Arkansas",83
"Faulkner County, Arkansas",82
"Pulaski County, Arkansas",82
"Madison County, Arkansas",82
"Cleburne County, Arkansas",80
"Craighead County, Arkansas",79
"Carroll County, Arkansas",79
"Crawford County, Arkansas",78
"Montgomery County, Arkansas",77
"Baxter County, Arkansas",77
"Sebastian County, Arkansas",77
"Cleveland County, Arkansas",77
"Marion County, Arkansas",77
"Stone County, Arkansas",77
"White County, Arkansas",76
"Crittenden County, Arkansas",76
"Conway County, Arkansas",76
"Newton County, Arkansas",76
"Miller County, Arkansas",75
"Searcy County, Arkansas",75
"Boone County, Arkansas",75
"Pope County, Arkansas",75
"Logan County, Arkansas",75
"Yell County, Arkansas",74
"Randolph County, Arkansas",74
"Greene County, Arkansas",74
"Van Buren County, Arkansas",74
"Hot Spring County, Arkansas",74
"Fulton County, Arkansas",74
"Franklin County, Arkansas",74
"Little River County, Arkansas",74
"Pike County, Arkansas",74
"Poinsett County, Arkansas",74
"Clark County, Arkansas",74
"Howard County, Arkansas",74
"Sharp County, Arkansas",73
"Jefferson County, Arkansas",73
"Drew County, Arkansas",73
"Independence County, Arkansas",73
"Polk County, Arkansas",73
"Lawrence County, Arkansas",73
"Johnson County, Arkansas",72
"Cross County, Arkansas",72
"Calhoun County, Arkansas",72
"Sevier County, Arkansas",72
"Lafayette County, Arkansas",72
"Nevada County, Arkansas",71
"Izard County, Arkansas",71
"Clay County, Arkansas",71
"Bradley County, Arkansas",71
"Lincoln County, Arkansas",71
"Union County, Arkansas",71
"Prairie County, Arkansas",71
"Mississippi County, Arkansas",71
"Ouachita County, Arkansas",70
"Hempstead County, Arkansas",70
"Arkansas County, Arkansas",70
"Columbia County, Arkansas",70
"Scott County, Arkansas",70
"Ashley County, Arkansas",69
"Chicot County, Arkansas",69
"Dallas County, Arkansas",69
"Lee County, Arkansas",69
"Phillips County, Arkansas",68
"Woodruff County, Arkansas",68
"Monroe County, Arkansas",68
"St. Francis County, Arkansas",68
"Jackson County, Arkansas",67
"Desha County, Arkansas",67
"Coconino County, Arizona",115
"Yavapai County, Arizona",110
"Maricopa County, Arizona",108
"Pinal County, Arizona",98
"Mohave County, Arizona",95
"Pima County, Arizona",95
"Gila County, Arizona",92
"Navajo County, Arizona",91
"Yuma County, Arizona",88
"Apache County, Arizona",86
"Cochise County, Arizona",85
"Graham County, Arizona",85
"Santa Cruz County, Arizona",82
"Greenlee County, Arizona",77
"La Paz County, Arizona",76
"San Francisco County, California",267
"San Mateo County, California",261
"Santa Clara County, California",242
"Marin County, California",230
"Alameda County, California",193
"Santa Cruz County, California",185
"Orange County, California",168
"Los Angeles County, California",165
"Napa County, California",164
"Contra Costa County, California",163
"Sonoma County, California",158
"San Benito County, California",158
"San Diego County, California",154
"Ventura County, California",154
"San Luis Obispo County, California",151
"Monterey County, California",149
"Santa Barbara County, California",149
"El Dorado County, California",142
"Placer County, California",140
"Solano County, California",135
"Nevada County, California",133
"Mono County, California",131
"Yolo County, California",130
"Alpine County, California",130
"Riverside County, California",129
"Sacramento County, California",124
"San Joaquin County, California",123
"San Bernardino County, California",118
"Mendocino County, California",117
"Tuolumne County, California",117
"Inyo County, California",117
"Stanislaus County, California",115
"Calaveras County, California",115
"Amador County, California",114
"Butte County, California",111
"Sutter County, California",111
"Yuba County, California",110
"Merced County, California",108
"Humboldt County, California",108
"Plumas County, California",106
"Lake County, California",106
"Shasta County, California",106
"Mariposa County, California",105
"Fresno County, California",103
"Madera County, California",102
"Colusa County, California",101
"Tehama County, California",100
"Kern County, California",99
"Glenn County, California",98
"Sierra County, California",97
"Tulare County, California",97
"Trinity County, California",95
"Kings County, California",95
"Imperial County, California",94
"Del Norte County, California",93
"Siskiyou County, California",92
"Lassen County, California",91
"Modoc County, California",88
"Pitkin County, Colorado",222
"Eagle County, Colorado",165
"San Miguel County, Colorado",162
"Summit County, Colorado",161
"Elbert County, Colorado",148
"Boulder County, Colorado",142
