State,Salary
New York,"$34,500"
Massachusetts,"$34,174"
Washington,"$33,936"
New Hampshire,"$33,259"
Hawaii,"$32,822"
Maryland,"$31,671"
Connecticut,"$31,661"
North Dakota,"$31,453"
Alaska,"$31,453"
Wyoming,"$31,453"
Montana,"$31,453"
Nevada,"$31,453"
Idaho,"$31,453"
Rhode Island,"$31,404"
Vermont,"$31,233"
Nebraska,"$31,193"
California,"$30,922"
Virginia,"$30,785"
Kentucky,"$30,165"
South Dakota,"$30,094"
New Jersey,"$30,029"
West Virginia,"$29,992"
Pennsylvania,"$29,847"
South Carolina,"$29,693"
Minnesota,"$29,665"
Oregon,"$29,594"
Delaware,"$29,590"
Tennessee,"$29,569"
Colorado,"$29,550"
Ohio,"$29,356"
Wisconsin,"$29,286"
Arizona,"$29,225"
Kansas,"$29,099"
Utah,"$29,086"
Indiana,"$29,037"
Oklahoma,"$28,991"
Maine,"$28,888"
Louisiana,"$28,770"
Iowa,"$28,474"
Georgia,"$28,193"
Texas,"$27,869"
New Mexico,"$27,809"
Michigan,"$27,738"
Arkansas,"$27,718"
Illinois,"$27,567"
Alabama,"$27,533"
Mississippi,"$27,255"
Missouri,"$27,191"
Florida,"$26,572"
North Carolina,"$25,303"
